x,y,z
-0.679212,2.937142,-3.599237
-0.633599,2.953937,-3.570222
-0.603066,2.934013,-3.527173
-0.664513,2.940004,-3.595467
-0.595432,2.943324,-3.510224
-0.601239,2.945888,-3.504045
-0.643581,2.931326,-3.563921
-0.707540,2.927863,-3.630554
-0.683395,2.914169,-3.626329
-0.699086,2.910776,-3.648674
-0.666719,2.874311,-3.585667
-0.688613,2.842704,-3.658246
-0.679003,2.803947,-3.618198
-0.629520,2.797296,-3.567547
-0.639262,2.785125,-3.578454
-0.583107,2.784073,-3.502501
-0.519180,2.794968,-3.463812
-0.562940,2.804193,-3.511078
-0.500945,2.806433,-3.477623
-0.573829,2.763439,-3.577221
-0.407862,2.896993,-3.392274
-0.354563,2.965174,-3.276595
-0.350532,2.961534,-3.270157
-0.388152,2.919518,-3.333391
-0.407753,2.906564,-3.363301
-0.347653,2.907463,-3.329551
-0.341847,2.910517,-3.341220
-0.351778,2.886661,-3.326321
-0.317545,2.860604,-3.327537
-0.310086,2.839744,-3.330193
-0.290772,2.862770,-3.319988
-0.265159,2.900486,-3.271836
-0.226222,2.894960,-3.254252
-0.161318,2.965639,-3.142456
-0.148112,3.053793,-3.103537
-0.118610,3.041253,-3.106136
-0.108663,3.027479,-3.116410
-0.111146,3.022197,-3.129348
-0.142909,3.046880,-3.133944
-0.147082,3.080417,-3.091264
-0.138635,3.036534,-3.145202
-0.124705,3.000544,-3.225918
-0.141993,2.971740,-3.246408
-0.106789,2.995818,-3.239662
-0.090961,2.995916,-3.246341
-0.075027,3.001335,-3.251106
-0.090104,3.000300,-3.224537
-0.070632,3.017148,-3.150079
-0.073379,3.089637,-3.060238
-0.078727,3.163499,-2.988923
-0.074847,3.097600,-3.027602
-0.102128,3.113763,-2.980366
-0.105066,3.170665,-2.974347
-0.094999,3.129025,-2.991436
-0.108571,3.129785,-2.995193
-0.106623,3.089776,-3.005603
-0.100038,3.060997,-2.994241
-0.069512,3.200164,-2.954444
-0.090754,3.204753,-2.934195
-0.083983,3.163784,-2.972878
-0.091862,3.153376,-2.971577
-0.087158,3.168735,-2.955652
-0.090372,3.159072,-2.937023
-0.110630,3.200787,-2.907069
-0.116851,3.227515,-2.884369
-0.107331,3.228658,-2.908226
-0.112340,3.236677,-2.915023
-0.103858,3.262756,-2.918163
-0.089038,3.302806,-2.876227
-0.094805,3.341318,-2.848386
-0.091083,3.327645,-2.890437
-0.072350,3.338053,-2.875468
-0.094043,3.362076,-2.822361
-0.070643,3.434478,-2.802061
-0.089422,3.395293,-2.775579
-0.072191,3.390296,-2.727600
-0.050604,3.486095,-2.720507
0.011678,3.447528,-2.826388
-0.018210,3.460887,-2.776432
0.015365,3.429075,-2.778440
-0.005700,3.448821,-2.719867
-0.032233,3.437384,-2.645313
-0.026558,3.481218,-2.632685
-0.028574,3.470634,-2.627064
-0.045313,3.567024,-2.593876
-0.059432,3.554448,-2.559312
-0.024641,3.529748,-2.615142
-0.042244,3.499071,-2.563875
-0.047598,3.543021,-2.553668
-0.032287,3.500659,-2.602600
-0.022853,3.532941,-2.569277
-0.051877,3.542713,-2.500981
0.009652,3.484891,-2.586011
0.016640,3.423765,-2.593199
0.031102,3.402111,-2.579019
0.043866,3.446635,-2.578355
0.035916,3.473659,-2.548189
0.048467,3.486742,-2.514822
0.082527,3.423762,-2.458077
0.064883,3.462456,-2.430525
0.077333,3.447128,-2.397546
0.085795,3.485181,-2.451592
0.087900,3.502519,-2.430500
