scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
0,cloud000000.pcd,0.006159566113016611,0.009874542793548517,0.0,0.005293535397014607,0.30329723695204563,0.0,True
1,cloud000001.pcd,0.005201220215596525,0.013609206055494419,0.0,0.011910083993486068,0.6823975464730687,0.0,True
2,cloud000002.pcd,-0.028572475635685296,0.030691859715032008,0.0,0.018065615314819216,1.035083511846045,0.2042263692537791,True
3,cloud000003.pcd,-0.019657201759290643,0.023145662054858584,0.0,0.012224398588620023,0.7004064462136076,0.27029865115604085,True
4,cloud000004.pcd,-0.015782652122559474,0.031899975087914256,0.0,0.010130182468716742,0.5804167011548864,0.26892075867230225,True
5,cloud000005.pcd,0.015897825629519382,0.018818208750069645,0.0,0.005280959475572427,0.30257668972992063,0.26982411034814413,True
6,cloud000006.pcd,0.014649176497862865,0.020604285118292577,0.0,0.003102809533677814,0.1777778909126938,0.26698274355005325,True
7,cloud000007.pcd,0.0007341499560432722,0.0244314763627946,0.0,0.003250877082033131,0.1862615365163027,0.2695354046601247,True
8,cloud000008.pcd,0.0013781902496112107,0.032678124539984185,0.0,0.008044444522097923,0.4609127196433455,0.26898231701003994,True
9,cloud000009.pcd,-0.016584739464435335,0.04070488186780819,0.0,0.01867876748836265,1.0702145435893569,0.27067296072922503,True
10,cloud000010.pcd,-0.05177352426607848,0.06565263365467489,0.0,0.07434602028499408,4.259713185924166,0.27085536351288425,True
11,cloud000011.pcd,-0.06461017110116223,0.08956378550068446,0.0,0.14614490049724146,8.373485995851302,0.2712627767447929,True
12,cloud000012.pcd,-0.05124895398073011,0.10887280184711134,0.0,0.2344651615875345,13.433864201818595,0.26983319254524746,True
13,cloud000013.pcd,-0.01471927299575062,0.13276535891610539,0.0,0.2992995587850189,17.148601528509264,0.26759521018151494,True
14,cloud000014.pcd,-0.05066500833623658,0.1642252067029915,0.0,0.3806521276280655,21.80976037576331,0.2677378806552722,True
15,cloud000015.pcd,-0.027957085061813065,0.17879660109350015,0.0,0.42694467758435745,24.462128111157366,0.2682689432366495,True
16,cloud000016.pcd,0.02965492583270608,0.18592048268556421,0.0,0.5071271758753529,29.056246854046343,0.2703936882911266,True
17,cloud000017.pcd,0.06048904271571917,0.22457033211502678,0.0,0.612474107367208,35.09218141318346,0.26792783354869715,True
18,cloud000018.pcd,0.04229797361790508,0.2695687003951747,0.0,0.7222675039797973,41.382879657490776,0.2678985601868519,True
19,cloud000019.pcd,0.02480382385867927,0.317127941690341,0.0,0.8152760378673761,46.711876107948534,0.2593921582624407,True
20,cloud000020.pcd,0.014120354729292302,0.387181637410064,0.0,0.9167839439155927,52.52785071172183,0.26288647441941176,True
21,cloud000021.pcd,-0.014686007451419705,0.41784263531194743,0.0,1.007144809050192,57.7051469170852,0.2624265018574147,True
