scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence
0,cloud000000.pcd,0.026727724666042334,0.03421692126871696,-0.025838894050368728,-0.041483101322960174,-2.37680662691918,0.0
1,cloud000005.pcd,0.06033447327514808,0.05097869593703102,-0.020663285000060712,-0.21601602652239318,-12.376806626919183,0.0
2,cloud000010.pcd,0.12000728879479138,0.09824403813456359,-0.06067793138086905,-0.39054895172182624,-22.37680662691919,0.20085051903992138
3,cloud000015.pcd,0.21355621249964274,0.10571120994207306,-0.02945667373055386,-0.5650818769212592,-32.37680662691919,0.257513066904934
4,cloud000020.pcd,0.23759585026299596,0.13827533926104582,-0.022658444269017065,-0.7396148021206922,-42.37680662691919,0.25722191542610595
5,cloud000025.pcd,0.4349356419126188,0.17386881625648115,-0.07444872092630059,-0.9141477273201252,-52.37680662691919,0.25651109763064395
6,cloud000030.pcd,0.533184050701656,0.06103461368709584,-0.12806762516856657,-1.088680652519558,-62.37680662691919,0.261104647164821
7,cloud000035.pcd,0.6609296583330695,0.16563899535265603,-0.12590324774679024,-1.263213577718991,-72.37680662691919,0.2612732938718002
8,cloud000040.pcd,0.8415322522766628,0.10040686987046203,-0.07255919490764329,-1.437746502918424,-82.37680662691919,0.2613238722624123
9,cloud000045.pcd,0.9412359822188727,0.1048905376123172,-0.04334067105122873,-1.612279428117857,-92.37680662691919,0.25809275042104357
10,cloud000050.pcd,1.082246019942041,0.02065139630463693,-0.08822260638616178,-1.78681235331729,-102.37680662691919,0.25463849056714494
11,cloud000055.pcd,1.2173627534508817,0.013423011106207987,-0.09778474008954131,-1.961345278516723,-112.37680662691919,0.25674896627112564
12,cloud000060.pcd,1.3331044894688728,0.006767935411564068,-0.07182091968462714,-2.135878203716156,-122.37680662691919,0.25853890635373716
13,cloud000065.pcd,1.52296228364209,-0.03071945378649205,-0.1182669681976695,-2.3104111289155886,-132.37680662691918,0.2582399199610202
14,cloud000070.pcd,1.6768761883574248,-0.08498975890490583,-0.12981191663916858,-2.4849440541150214,-142.37680662691918,0.2581007058467652
15,cloud000075.pcd,1.8648141356814352,-0.1246526166609303,-0.19613523281706968,-2.659476979314454,-152.37680662691918,0.2569494705417448
16,cloud000080.pcd,1.9851449825939,-0.1307033708694136,-0.19004117429975523,-2.834009904513887,-162.37680662691915,0.2573741713432183
17,cloud000085.pcd,2.1621116020605418,-0.1371843770325019,-0.2518900006249658,-3.0085428297133197,-172.37680662691915,0.25813811706287054
18,cloud000090.pcd,2.372093904217972,-0.16362739136556168,-0.23610447720555117,3.100109552266834,177.62319337308088,0.25810546434042053
19,cloud000095.pcd,2.4625050273928,-0.17028757312345633,-0.223380459022609,2.925576627067401,167.62319337308088,0.23231926184506
20,cloud000100.pcd,2.602489105147259,-0.16605016987360957,-0.2246492717251217,3.100109552266834,177.62319337308088,0.23519247175264593
21,cloud000105.pcd,2.7451563637711156,-0.15866497204943325,-0.2238041306184935,2.925576627067401,167.62319337308088,0.22836306351575764
22,cloud000110.pcd,2.8854087475412262,-0.16805537005496612,-0.2692537616882154,3.100109552266834,177.62319337308088,0.23321000054081453
23,cloud000115.pcd,2.957262021856951,-0.126202100785741,-0.29006746348487505,2.925576627067401,167.62319337308088,0.2581050092460417
24,cloud000120.pcd,3.0627727914994387,-0.15407500345561032,-0.2782140919645726,3.100109552266834,177.62319337308088,0.2578558966044119
25,cloud000125.pcd,3.232075059264534,-0.20918264075346316,-0.262028673445729,2.925576627067401,167.62319337308088,0.25843378863924177
26,cloud000130.pcd,3.382667049389693,-0.2256476930133555,-0.22030789180443155,3.100109552266834,177.62319337308088,0.25825773240113825
27,cloud000135.pcd,3.580688430014028,-0.28245887407319453,-0.20059840388724268,2.925576627067401,167.62319337308088,0.25731683326369875
28,cloud000140.pcd,3.708142402610249,-0.2928336574957833,-0.16826534231488807,3.100109552266834,177.62319337308088,0.2581776327857087
29,cloud000145.pcd,3.8133615324787273,-0.2902576279904524,-0.18069449609676544,2.925576627067401,167.62319337308088,0.2586442557331525
30,cloud000150.pcd,3.998816208092464,-0.3451155606442817,-0.1623179149631279,3.100109552266834,177.62319337308088,0.2589358853951195
31,cloud000155.pcd,4.174832508716596,-0.4104002431118813,-0.16273832629630694,2.925576627067401,167.62319337308088,0.2589989375194361
32,cloud000160.pcd,4.310433873659416,-0.46415897038980247,-0.14426408770891133,3.100109552266834,177.62319337308088,0.25656339418155444
33,cloud000165.pcd,4.47912439670966,-0.5131460422658175,-0.12387804613408462,2.925576627067401,167.62319337308088,0.2582046737708655
34,cloud000170.pcd,4.636759667423399,-0.5510891379546781,-0.09911931849795974,3.100109552266834,177.62319337308088,0.25838446531679127
35,cloud000175.pcd,4.77465144924203,-0.5716585438208136,-0.09861683550392862,2.925576627067401,167.62319337308088,0.258632041294829
36,cloud000180.pcd,4.925947818534501,-0.5885903051086413,-0.12643657734188385,3.100109552266834,177.62319337308088,0.2588015675360185
37,cloud000185.pcd,5.01320356020964,-0.5850986219402567,-0.1408958136385185,2.925576627067401,167.62319337308088,0.2590726077919652
38,cloud000190.pcd,5.027158545501796,-0.6019897577050264,-0.13971476356753534,3.100109552266834,177.62319337308088,0.2569482637586339
39,cloud000195.pcd,5.027360861189716,-0.6120585798251723,-0.17810844547664534,-3.0085428297133197,-172.37680662691915,0.2593956444628477
40,cloud000200.pcd,5.01255570414618,-0.6267822951645424,-0.20013933555644228,-2.834009904513887,-162.37680662691915,0.24123418836217192
41,cloud000205.pcd,5.095217404226177,-0.5528477558252567,-0.16676298120189342,-2.659476979314454,-152.37680662691918,0.23878751998621317
42,cloud000210.pcd,5.212695026271469,-0.48143063066589664,-0.10551115759605548,-2.4849440541150214,-142.37680662691918,0.23763637948025276
43,cloud000215.pcd,5.324930324437588,-0.4296579639322093,-0.09718608846511266,-2.659476979314454,-152.37680662691918,0.24275363732258282
44,cloud000220.pcd,5.482594565765971,-0.3587400363874719,-0.05362090770644187,-2.4849440541150214,-142.37680662691918,0.2576249632978067
45,cloud000225.pcd,5.614502919377541,-0.2836803948249351,-0.029541411435847667,-2.659476979314454,-152.37680662691918,0.25860897773397634
46,cloud000230.pcd,5.731578755329614,-0.2429810719304556,0.02221543130541459,-2.4849440541150214,-142.37680662691918,0.2581931612001342
47,cloud000235.pcd,5.883144522856548,-0.18136557624016808,0.08016924072347162,-2.659476979314454,-152.37680662691918,0.2578376726496464
